cardinality,threshold,actual_selectivity,method,run,time_ms
10,2,0.2002345,sketch,1,8.0
10,2,0.2002345,sketch,2,6.0
10,2,0.2002345,sketch,3,7.0
10,2,0.2002345,baseline,1,8.0
10,2,0.2002345,baseline,2,7.0
10,2,0.2002345,baseline,3,6.0
50,5,0.09993416666666667,sketch,1,7.0
50,5,0.09993416666666667,sketch,2,6.0
50,5,0.09993416666666667,sketch,3,6.0
50,5,0.09993416666666667,baseline,1,7.0
50,5,0.09993416666666667,baseline,2,5.0
50,5,0.09993416666666667,baseline,3,6.0
100,9,0.09017766666666667,sketch,1,6.0
100,9,0.09017766666666667,sketch,2,6.0
100,9,0.09017766666666667,sketch,3,5.0
100,9,0.09017766666666667,baseline,1,7.0
100,9,0.09017766666666667,baseline,2,6.0
100,9,0.09017766666666667,baseline,3,5.0
256,25,0.09758633333333333,sketch,1,6.0
256,25,0.09758633333333333,sketch,2,6.0
256,25,0.09758633333333333,sketch,3,5.0
256,25,0.09758633333333333,baseline,1,7.0
256,25,0.09758633333333333,baseline,2,6.0
256,25,0.09758633333333333,baseline,3,5.0
500,50,0.0999125,sketch,1,7.0
500,50,0.0999125,sketch,2,5.0
500,50,0.0999125,sketch,3,5.0
500,50,0.0999125,baseline,1,6.0
500,50,0.0999125,baseline,2,6.0
500,50,0.0999125,baseline,3,5.0
1000,99,0.09906633333333334,sketch,1,8.0
1000,99,0.09906633333333334,sketch,2,6.0
1000,99,0.09906633333333334,sketch,3,5.0
1000,99,0.09906633333333334,baseline,1,6.0
1000,99,0.09906633333333334,baseline,2,6.0
1000,99,0.09906633333333334,baseline,3,5.0
10000,999,0.09993383333333333,sketch,1,6.0
10000,999,0.09993383333333333,sketch,2,6.0
10000,999,0.09993383333333333,sketch,3,5.0
10000,999,0.09993383333333333,baseline,1,7.0
10000,999,0.09993383333333333,baseline,2,6.0
10000,999,0.09993383333333333,baseline,3,6.0
100000,9989,0.09999,sketch,1,7.0
100000,9989,0.09999,sketch,2,5.0
100000,9989,0.09999,sketch,3,6.0
100000,9989,0.09999,baseline,1,6.0
100000,9989,0.09999,baseline,2,6.0
100000,9989,0.09999,baseline,3,6.0
