cardinality,threshold,actual_selectivity,method,run,time_ms
10,1,0.09994898333333334,sketch,1,33.0
10,1,0.09994898333333334,sketch,2,33.0
10,1,0.09994898333333334,sketch,3,33.0
10,1,0.09994898333333334,baseline,1,33.0
10,1,0.09994898333333334,baseline,2,33.0
10,1,0.09994898333333334,baseline,3,32.0
50,5,0.099994,sketch,1,32.0
50,5,0.099994,sketch,2,31.0
50,5,0.099994,sketch,3,32.0
50,5,0.099994,baseline,1,32.0
50,5,0.099994,baseline,2,31.0
50,5,0.099994,baseline,3,31.0
100,10,0.0999964,sketch,1,32.0
100,10,0.0999964,sketch,2,31.0
100,10,0.0999964,sketch,3,32.0
100,10,0.0999964,baseline,1,32.0
100,10,0.0999964,baseline,2,32.0
100,10,0.0999964,baseline,3,31.0
256,25,0.0976,sketch,1,32.0
256,25,0.0976,sketch,2,33.0
256,25,0.0976,sketch,3,32.0
256,25,0.0976,baseline,1,33.0
256,25,0.0976,baseline,2,33.0
256,25,0.0976,baseline,3,32.0
500,49,0.09804366666666667,sketch,1,33.0
500,49,0.09804366666666667,sketch,2,32.0
500,49,0.09804366666666667,sketch,3,33.0
500,49,0.09804366666666667,baseline,1,32.0
500,49,0.09804366666666667,baseline,2,32.0
500,49,0.09804366666666667,baseline,3,32.0
1000,100,0.09998646666666666,sketch,1,33.0
1000,100,0.09998646666666666,sketch,2,33.0
1000,100,0.09998646666666666,sketch,3,32.0
1000,100,0.09998646666666666,baseline,1,33.0
1000,100,0.09998646666666666,baseline,2,32.0
1000,100,0.09998646666666666,baseline,3,33.0
10000,999,0.09994235,sketch,1,33.0
10000,999,0.09994235,sketch,2,33.0
10000,999,0.09994235,sketch,3,33.0
10000,999,0.09994235,baseline,1,33.0
10000,999,0.09994235,baseline,2,32.0
10000,999,0.09994235,baseline,3,33.0
100000,10001,0.09999148333333334,sketch,1,34.0
100000,10001,0.09999148333333334,sketch,2,33.0
100000,10001,0.09999148333333334,sketch,3,33.0
100000,10001,0.09999148333333334,baseline,1,34.0
100000,10001,0.09999148333333334,baseline,2,33.0
100000,10001,0.09999148333333334,baseline,3,33.0
