distribution,threshold,actual_selectivity,method,run,time_ms
uniform,100,0.09989783333333334,sketch,1,7.0
uniform,100,0.09989783333333334,sketch,2,5.0
uniform,100,0.09989783333333334,sketch,3,5.0
uniform,100,0.09989783333333334,baseline,1,6.0
uniform,100,0.09989783333333334,baseline,2,6.0
uniform,100,0.09989783333333334,baseline,3,5.0
zipf,1,0.38266316666666667,sketch,1,9.0
zipf,1,0.38266316666666667,sketch,2,9.0
zipf,1,0.38266316666666667,sketch,3,9.0
zipf,1,0.38266316666666667,baseline,1,9.0
zipf,1,0.38266316666666667,baseline,2,9.0
zipf,1,0.38266316666666667,baseline,3,8.0
clustered,100,0.0998475,sketch,1,1.0
clustered,100,0.0998475,sketch,2,1.0
clustered,100,0.0998475,sketch,3,1.0
clustered,100,0.0998475,baseline,1,1.0
clustered,100,0.0998475,baseline,2,1.0
clustered,100,0.0998475,baseline,3,1.0
