distribution,threshold,actual_selectivity,method,run,time_ms
uniform,99,0.09900683333333334,sketch,1,32.0
uniform,99,0.09900683333333334,sketch,2,33.0
uniform,99,0.09900683333333334,sketch,3,31.0
uniform,99,0.09900683333333334,baseline,1,33.0
uniform,99,0.09900683333333334,baseline,2,32.0
uniform,99,0.09900683333333334,baseline,3,32.0
zipf,1,0.3827318,sketch,1,58.0
zipf,1,0.3827318,sketch,2,59.0
zipf,1,0.3827318,sketch,3,58.0
zipf,1,0.3827318,baseline,1,59.0
zipf,1,0.3827318,baseline,2,58.0
zipf,1,0.3827318,baseline,3,59.0
clustered,100,0.09999525,sketch,1,2.0
clustered,100,0.09999525,sketch,2,1.0
clustered,100,0.09999525,sketch,3,2.0
clustered,100,0.09999525,baseline,1,2.0
clustered,100,0.09999525,baseline,2,1.0
clustered,100,0.09999525,baseline,3,2.0
