selectivity,threshold,actual_selectivity,method,run,time_ms
0.05,49,0.04910316666666667,sketch,1,9.0
0.05,49,0.04910316666666667,sketch,2,6.0
0.05,49,0.04910316666666667,sketch,3,4.0
0.05,49,0.04910316666666667,baseline,1,6.0
0.05,49,0.04910316666666667,baseline,2,5.0
0.05,49,0.04910316666666667,baseline,3,4.0
0.1,99,0.09912383333333333,sketch,1,7.0
0.1,99,0.09912383333333333,sketch,2,5.0
0.1,99,0.09912383333333333,sketch,3,5.0
0.1,99,0.09912383333333333,baseline,1,6.0
0.1,99,0.09912383333333333,baseline,2,5.0
0.1,99,0.09912383333333333,baseline,3,6.0
0.2,199,0.19922866666666667,sketch,1,8.0
0.2,199,0.19922866666666667,sketch,2,7.0
0.2,199,0.19922866666666667,sketch,3,7.0
0.2,199,0.19922866666666667,baseline,1,8.0
0.2,199,0.19922866666666667,baseline,2,6.0
0.2,199,0.19922866666666667,baseline,3,7.0
0.4,399,0.39923166666666665,sketch,1,10.0
0.4,399,0.39923166666666665,sketch,2,9.0
0.4,399,0.39923166666666665,sketch,3,9.0
0.4,399,0.39923166666666665,baseline,1,10.0
0.4,399,0.39923166666666665,baseline,2,9.0
0.4,399,0.39923166666666665,baseline,3,10.0
0.6,599,0.5993083333333333,sketch,1,9.0
0.6,599,0.5993083333333333,sketch,2,10.0
0.6,599,0.5993083333333333,sketch,3,9.0
0.6,599,0.5993083333333333,baseline,1,10.0
0.6,599,0.5993083333333333,baseline,2,9.0
0.6,599,0.5993083333333333,baseline,3,9.0
0.8,799,0.799057,sketch,1,8.0
0.8,799,0.799057,sketch,2,7.0
0.8,799,0.799057,sketch,3,7.0
0.8,799,0.799057,baseline,1,8.0
0.8,799,0.799057,baseline,2,6.0
0.8,799,0.799057,baseline,3,7.0
