selectivity,threshold,actual_selectivity,method,run,time_ms
0.05,49,0.04899651666666666,sketch,1,26.0
0.05,49,0.04899651666666666,sketch,2,27.0
0.05,49,0.04899651666666666,sketch,3,26.0
0.05,49,0.04899651666666666,baseline,1,26.0
0.05,49,0.04899651666666666,baseline,2,26.0
0.05,49,0.04899651666666666,baseline,3,26.0
0.1,99,0.09899611666666666,sketch,1,32.0
0.1,99,0.09899611666666666,sketch,2,33.0
0.1,99,0.09899611666666666,sketch,3,32.0
0.1,99,0.09899611666666666,baseline,1,32.0
0.1,99,0.09899611666666666,baseline,2,33.0
0.1,99,0.09899611666666666,baseline,3,32.0
0.2,200,0.19996321666666667,sketch,1,41.0
0.2,200,0.19996321666666667,sketch,2,41.0
0.2,200,0.19996321666666667,sketch,3,41.0
0.2,200,0.19996321666666667,baseline,1,41.0
0.2,200,0.19996321666666667,baseline,2,42.0
0.2,200,0.19996321666666667,baseline,3,41.0
0.4,400,0.39995295,sketch,1,62.0
0.4,400,0.39995295,sketch,2,61.0
0.4,400,0.39995295,sketch,3,61.0
0.4,400,0.39995295,baseline,1,62.0
0.4,400,0.39995295,baseline,2,60.0
0.4,400,0.39995295,baseline,3,61.0
0.6,600,0.59995085,sketch,1,63.0
0.6,600,0.59995085,sketch,2,62.0
0.6,600,0.59995085,sketch,3,62.0
0.6,600,0.59995085,baseline,1,62.0
0.6,600,0.59995085,baseline,2,62.0
0.6,600,0.59995085,baseline,3,62.0
0.8,800,0.7999274,sketch,1,40.0
0.8,800,0.7999274,sketch,2,40.0
0.8,800,0.7999274,sketch,3,39.0
0.8,800,0.7999274,baseline,1,40.0
0.8,800,0.7999274,baseline,2,39.0
0.8,800,0.7999274,baseline,3,42.0
