threshold,selectivity_label,method,run,time_ms
4,~5%,sketch,1,0.0
4,~5%,sketch,2,1.0
4,~5%,sketch,3,0.0
4,~5%,sketch,4,0.0
4,~5%,sketch,5,0.0
4,~5%,baseline,1,0.0
4,~5%,baseline,2,0.0
4,~5%,baseline,3,1.0
4,~5%,baseline,4,0.0
4,~5%,baseline,5,0.0
6,~10%,sketch,1,0.0
6,~10%,sketch,2,1.0
6,~10%,sketch,3,0.0
6,~10%,sketch,4,0.0
6,~10%,sketch,5,0.0
6,~10%,baseline,1,0.0
6,~10%,baseline,2,0.0
6,~10%,baseline,3,1.0
6,~10%,baseline,4,0.0
6,~10%,baseline,5,0.0
11,~20%,sketch,1,0.0
11,~20%,sketch,2,1.0
11,~20%,sketch,3,0.0
11,~20%,sketch,4,0.0
11,~20%,sketch,5,0.0
11,~20%,baseline,1,0.0
11,~20%,baseline,2,0.0
11,~20%,baseline,3,1.0
11,~20%,baseline,4,0.0
11,~20%,baseline,5,0.0
21,~40%,sketch,1,0.0
21,~40%,sketch,2,1.0
21,~40%,sketch,3,0.0
21,~40%,sketch,4,0.0
21,~40%,sketch,5,0.0
21,~40%,baseline,1,0.0
21,~40%,baseline,2,0.0
21,~40%,baseline,3,1.0
21,~40%,baseline,4,0.0
21,~40%,baseline,5,0.0
31,~60%,sketch,1,0.0
31,~60%,sketch,2,1.0
31,~60%,sketch,3,0.0
31,~60%,sketch,4,0.0
31,~60%,sketch,5,0.0
31,~60%,baseline,1,0.0
31,~60%,baseline,2,0.0
31,~60%,baseline,3,0.0
31,~60%,baseline,4,1.0
31,~60%,baseline,5,0.0
41,~80%,sketch,1,0.0
41,~80%,sketch,2,0.0
41,~80%,sketch,3,1.0
41,~80%,sketch,4,0.0
41,~80%,sketch,5,0.0
41,~80%,baseline,1,0.0
41,~80%,baseline,2,0.0
41,~80%,baseline,3,0.0
41,~80%,baseline,4,1.0
41,~80%,baseline,5,0.0
